xflr5 v6.47

Plane name :, Plane Name
Polar name :, T1-50.0 m/s-VLM1-Inviscid
Freestream speed :, 50.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
    0.000,     0.000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   50.0000,    0.0000
    0.250,     0.000,   0.026016,   0.000004,   0.000000,   0.000004,   0.000000,  -0.000000,  -0.006504,  -0.000000,  -0.000000,   50.0000,    0.2500
    0.500,     0.000,   0.052032,   0.000018,   0.000000,   0.000018,   0.000000,   0.000000,  -0.013008,  -0.000000,  -0.000000,   50.0000,    0.2500
    0.750,     0.000,   0.078046,   0.000040,   0.000000,   0.000040,   0.000000,   0.000000,  -0.019510,  -0.000000,  -0.000000,   50.0000,    0.2500
    1.000,     0.000,   0.104059,   0.000072,   0.000000,   0.000072,   0.000000,   0.000000,  -0.026011,   0.000000,   0.000000,   50.0000,    0.2500
    1.250,     0.000,   0.130069,   0.000112,   0.000000,   0.000112,   0.000000,  -0.000000,  -0.032510,   0.000000,   0.000000,   50.0000,    0.2500
    1.500,     0.000,   0.156076,   0.000161,   0.000000,   0.000161,   0.000000,   0.000000,  -0.039007,  -0.000000,  -0.000000,   50.0000,    0.2500
    1.750,     0.000,   0.182080,   0.000219,   0.000000,   0.000219,   0.000000,   0.000000,  -0.045500,  -0.000000,  -0.000000,   50.0000,    0.2500
    2.000,     0.000,   0.208079,   0.000286,   0.000000,   0.000286,   0.000000,  -0.000000,  -0.051991,  -0.000000,  -0.000000,   50.0000,    0.2500
    2.250,     0.000,   0.234073,   0.000362,   0.000000,   0.000362,   0.000000,   0.000000,  -0.058477,  -0.000000,  -0.000000,   50.0000,    0.2500
    2.500,     0.000,   0.260062,   0.000447,   0.000000,   0.000447,   0.000000,   0.000000,  -0.064958,   0.000000,   0.000000,   50.0000,    0.2500
    2.750,     0.000,   0.286044,   0.000541,   0.000000,   0.000541,   0.000000,   0.000000,  -0.071435,   0.000000,   0.000000,   50.0000,    0.2500
    3.000,     0.000,   0.312020,   0.000643,   0.000000,   0.000643,   0.000000,   0.000000,  -0.077907,  -0.000000,  -0.000000,   50.0000,    0.2500
    3.250,     0.000,   0.337989,   0.000755,   0.000000,   0.000755,   0.000000,  -0.000000,  -0.084372,   0.000000,   0.000000,   50.0000,    0.2500
    3.500,     0.000,   0.363949,   0.000875,   0.000000,   0.000875,   0.000000,  -0.000000,  -0.090831,   0.000000,   0.000000,   50.0000,    0.2500
    3.750,     0.000,   0.389901,   0.001004,   0.000000,   0.001004,   0.000000,  -0.000000,  -0.097283,   0.000000,   0.000000,   50.0000,    0.2500
    4.000,     0.000,   0.415844,   0.001142,   0.000000,   0.001142,   0.000000,   0.000000,  -0.103728,  -0.000000,  -0.000000,   50.0000,    0.2500
    4.250,     0.000,   0.441777,   0.001288,   0.000000,   0.001288,   0.000000,   0.000000,  -0.110165,   0.000000,   0.000000,   50.0000,    0.2501
    4.500,     0.000,   0.467700,   0.001444,   0.000000,   0.001444,   0.000000,   0.000000,  -0.116593,   0.000000,   0.000000,   50.0000,    0.2501
    4.750,     0.000,   0.493612,   0.001608,   0.000000,   0.001608,   0.000000,   0.000000,  -0.123012,  -0.000000,  -0.000000,   50.0000,    0.2501
    5.000,     0.000,   0.519512,   0.001780,   0.000000,   0.001780,   0.000000,  -0.000000,  -0.129423,  -0.000000,  -0.000000,   50.0000,    0.2501


